object_id,ebike,traditional,Female,Male,classic,hybrid,race,helmet,torso_angle,arm_angle
GH010531_17124,1,0,1,0,1,0,0,1,11.718872,42.241913
GH010531_17192,0,1,1,0,1,0,0,0,12.476135,64.68397
GH010531_287,0,1,1,0,1,0,0,1,7.8335843,37.750336
GH010531_7194,1,0,1,0,1,0,0,1,11.856307,32.708096
GH010531_8700,0,1,1,0,1,0,0,1,19.57959,40.643
GH010531_9196,1,0,1,0,1,0,0,1,7.397435,40.520287
GH010531_9935,0,1,1,0,1,0,0,0,22.413282,37.817375
GH020522_10327,0,1,1,0,1,0,0,1,37.70433,31.69179
GH020522_10428,0,1,1,0,1,0,0,1,31.132458,45.249187
GH020522_11973,1,0,1,0,1,0,0,1,6.186814,48.507908
GH020522_12013,1,0,1,0,1,0,0,0,7.3632193,55.128803
GH020522_12199,1,0,1,0,1,0,0,0,18.951113,51.07639
GH020522_12447,0,1,1,0,1,0,0,1,32.144375,38.167545
GH020522_13745,0,1,1,0,1,0,0,1,7.7002087,51.580563
GH020522_13824,1,0,1,0,1,0,0,1,22.27549,47.114716
GH020522_4543,0,1,1,0,1,0,0,1,9.176845,49.48065
GH020522_5860,0,1,1,0,1,0,0,0,29.983877,49.037064
GH020522_6159,0,1,1,0,1,0,0,1,27.653688,42.973717
GH020522_6607,1,0,1,0,1,0,0,1,6.7525268,41.041885
GH020522_7268,0,1,1,0,1,0,0,1,19.849651,46.720657
GH020522_9001,0,1,1,0,1,0,0,0,26.062305,54.997223
GH020522_9489,0,1,1,0,1,0,0,1,4.3882937,59.24535
GH020522_9581,0,1,1,0,1,0,0,1,31.9551,39.324013
GH020528_8345,0,1,1,0,1,0,0,1,8.463341,52.89267
GH020528_9040,0,1,1,0,1,0,0,0,8.917775,26.720732
GH020529_1062,0,1,1,0,1,0,0,1,36.909096,18.678944
GH020529_1741,1,0,1,0,1,0,0,1,12.286151,50.041744
GH020531_1224,1,0,1,0,1,0,0,1,5.744125,48.166195
GH020531_2703,0,1,1,0,1,0,0,1,12.762525,47.063686
GH020531_2883,1,0,1,0,1,0,0,0,6.8154073,50.572483
GH030528_1151,0,1,1,0,1,0,0,1,33.866516,28.3655
GH030528_1332,0,1,1,0,1,0,0,0,23.023643,34.50645
GH030528_3675,0,1,1,0,1,0,0,0,14.404899,50.284058
GH010528_6671,1,0,0,0,0,0,0,0,7.8497787,27.069008
GH010531_3700_0,0,1,1,0,1,0,0,1,4.78,57.116
GH010531_3700_1,1,0,1,0,1,0,0,0,13.767,67.287
GH020522_6599_0,0,1,0,1,0,1,0,1,39.657,33.635
GH020522_6599_1,0,1,1,0,1,0,0,1,4.699,41.842
GH020531_4450_0,0,1,0,1,0,1,0,1,20.814423,40.1340736
GH020531_4450_1,0,1,0,1,0,1,0,1,27.654291,27.971
